ST,MO,NO
NJ,6,10308
NJ,7,10484
NJ,8,11108
NJ,9,9627
NJ,10,10278
NJ,11,9899
NJ,12,10171
NM,1,1604
NM,2,1436
NM,3,1690
NM,4,1721
NM,5,1847
NM,6,1910
NM,7,1946
NM,8,1974
NM,9,1890
NM,10,2004
NM,11,1737
NM,12,1853
NV,1,13716
NV,2,12196
NV,3,14220
NV,4,13899
NV,5,14477
NV,6,14371
NV,7,14738
NV,8,14913
NV,9,14058
NV,10,14657
NV,11,13323
NV,12,13595
NY,1,19548
NY,2,18113
NY,3,21700
NY,4,20378
NY,5,21039
NY,6,21027
NY,7,21346
NY,8,21897
NY,9,19624
NY,10,20839
NY,11,19749
NY,12,20086
OH,1,5374
OH,2,4913
OH,3,5869
OH,4,6011
OH,5,6220
OH,6,6233
OH,7,6280
OH,8,6434
OH,9,6019
OH,10,6200
OH,11,5939
OH,12,5730
OK,1,2365
OK,2,2101
OK,3,2378
OK,4,2500
OK,5,2470
OK,6,2568
OK,7,2606
OK,8,2470
OK,9,2344
OK,10,2578
OK,11,2583
OK,12,2474
OR,1,5334
OR,2,4790
OR,3,5722
OR,4,5602
OR,5,6072
OR,6,6801
OR,7,7178
OR,8,7073
OR,9,6559
OR,10,6807
OR,11,5980
OR,12,6188
PA,1,8639
PA,2,7828
PA,3,9582
PA,4,9318
PA,5,9711
PA,6,9763
PA,7,10188
PA,8,10183
PA,9,9392
PA,10,9566
PA,11,9294
PA,12,9301
PR,1,2640
PR,2,2226
PR,3,2532
PR,4,2430
PR,5,2337
PR,6,2696
PR,7,2924
PR,8,2488
PR,9,1731
PR,10,1428
PR,11,1459
PR,12,2016
RI,1,1008
RI,2,907
RI,3,1176
RI,4,1209
RI,5,1149
RI,6,1119
RI,7,1140
RI,8,1206
RI,9,1117
RI,10,1219
RI,11,1250
RI,12,1257
SC,1,2002
SC,2,1900
SC,3,2298
SC,4,2636
SC,5,2978
SC,6,2873
SC,7,2833
SC,8,2939
SC,9,2682
SC,10,2751
SC,11,2403
SC,12,2157
SD,1,588
SD,2,535
SD,3,624
SD,4,550
SD,5,652
SD,6,807
SD,7,950
SD,8,915
SD,9,745
SD,10,768
SD,11,628
SD,12,568
TN,1,6525
TN,2,5926
TN,3,7052
TN,4,6791
TN,5,6671
TN,6,7043
TN,7,7235
TN,8,7242
TN,9,6737
TN,10,7226
TN,11,6765
TN,12,6726
TT,1,41
TT,2,36
TT,3,40
TT,4,38
TT,5,40
TT,6,43
TT,7,44
TT,8,43
TT,9,39
TT,10,40
TT,11,38
TT,12,42
TX,1,46084
TX,2,41527
TX,3,48073
TX,4,45168
TX,5,48280
TX,6,47792
TX,7,49005
TX,8,48477
TX,9,44332
TX,10,47295
