ARR_DELAY_NEW (min),DEP_DELAY_NEW (min),AIR_TIME (min),DISTANCE (miles),CARRIER_DELAY (min),NAS_DELAY (min),LATE_AIRCRAFT_DELAY (min),ORIGIN_STATE_ABR
12.0,17.0,49.0,349.0,0.0,0.0,0.0,CO
0.0,3.0,94.0,667.0,0.0,0.0,0.0,TX
0.0,1.0,60.0,468.0,0.0,0.0,0.0,IL
12.0,18.0,198.0,1797.0,0.0,0.0,0.0,CA
45.0,38.0,106.0,651.0,0.0,45.0,0.0,AZ
60.0,58.0,73.0,479.0,10.0,2.0,48.0,CA
74.0,78.0,66.0,409.0,0.0,0.0,74.0,MD
0.0,5.0,50.0,300.0,0.0,0.0,0.0,FL
73.0,74.0,91.0,677.0,73.0,0.0,0.0,CA
9.0,0.0,198.0,1546.0,0.0,0.0,0.0,FL
109.0,125.0,90.0,606.0,0.0,0.0,0.0,GA
15.0,0.0,90.0,646.0,0.0,15.0,0.0,IL
8.0,5.0,69.0,485.0,0.0,0.0,0.0,TX
1.0,0.0,144.0,1050.0,0.0,0.0,0.0,WA
1.0,0.0,230.0,1972.0,0.0,0.0,0.0,AZ
21.0,13.0,389.0,2704.0,13.0,8.0,0.0,MA
1.0,8.0,65.0,391.0,0.0,0.0,0.0,UT
7.0,16.0,274.0,2329.0,0.0,0.0,0.0,WA
35.0,32.0,61.0,331.0,32.0,3.0,0.0,NC
38.0,41.0,156.0,980.0,8.0,0.0,30.0,PA
53.0,33.0,126.0,946.0,33.0,20.0,0.0,FL
0.0,1.0,309.0,2329.0,0.0,0.0,0.0,MD
6.0,0.0,133.0,997.0,0.0,0.0,0.0,FL
1.0,0.0,264.0,2329.0,0.0,0.0,0.0,CA
7.0,3.0,151.0,1062.0,0.0,0.0,0.0,LA
25.0,6.0,95.0,630.0,6.0,19.0,0.0,UT
10.0,9.0,185.0,1587.0,0.0,0.0,0.0,AZ
8.0,0.0,118.0,925.0,0.0,0.0,0.0,MD
26.0,35.0,132.0,1107.0,26.0,0.0,0.0,FL
