"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
25,4,2018-01-25,"ATL","GA","Georgia","TRI","TN","Tennessee",0.00,0.00,0.00,"",39.00,227.00,,,,,,
4,4,2018-01-04,"BHM","AL","Alabama","DFW","TX","Texas",0.00,0.00,0.00,"",112.00,597.00,,,,,,
11,4,2018-01-11,"ILM","NC","North Carolina","CLT","NC","North Carolina",0.00,0.00,0.00,"",43.00,185.00,,,,,,
10,3,2018-01-10,"GSO","NC","North Carolina","CLT","NC","North Carolina",0.00,0.00,0.00,"",27.00,83.00,,,,,,
7,7,2018-01-07,"MSP","MN","Minnesota","MEM","TN","Tennessee",0.00,0.00,0.00,"",102.00,700.00,,,,,,
28,7,2018-01-28,"IND","IN","Indiana","DAL","TX","Texas",0.00,0.00,0.00,"",116.00,755.00,,,,,,
24,3,2018-01-24,"ORD","IL","Illinois","FLL","FL","Florida",0.00,0.00,0.00,"",157.00,1182.00,,,,,,
3,3,2018-01-03,"MCO","FL","Florida","SJU","PR","Puerto Rico",10.00,13.00,0.00,"",138.00,1189.00,,,,,,
6,6,2018-01-06,"OMA","NE","Nebraska","SEA","WA","Washington",0.00,0.00,0.00,"",198.00,1368.00,,,,,,
14,7,2018-01-14,"MYR","SC","South Carolina","ATL","GA","Georgia",0.00,0.00,0.00,"",61.00,317.00,,,,,,
26,5,2018-01-26,"SFO","CA","California","MDW","IL","Illinois",1.00,0.00,0.00,"",212.00,1855.00,,,,,,
13,6,2018-01-13,"CHS","SC","South Carolina","JFK","NY","New York",44.00,15.00,0.00,"",74.00,636.00,3.00,0.00,0.00,0.00,12.00,
24,3,2018-01-24,"BOS","MA","Massachusetts","PHX","AZ","Arizona",0.00,0.00,0.00,"",314.00,2300.00,,,,,,
26,5,2018-01-26,"HOU","TX","Texas","DAL","TX","Texas",33.00,31.00,0.00,"",44.00,239.00,0.00,0.00,0.00,0.00,31.00,
12,5,2018-01-12,"SEA","WA","Washington","SMF","CA","California",5.00,0.00,0.00,"",79.00,605.00,,,,,,
12,5,2018-01-12,"ROC","NY","New York","CLT","NC","North Carolina",23.00,24.00,0.00,"",107.00,573.00,3.00,0.00,1.00,0.00,20.00,
26,5,2018-01-26,"ROC","NY","New York","BWI","MD","Maryland",0.00,0.00,0.00,"",48.00,277.00,,,,,,
3,3,2018-01-03,"SJC","CA","California","SAN","CA","California",0.00,7.00,0.00,"",62.00,417.00,,,,,,
22,1,2018-01-22,"DFW","TX","Texas","ORD","IL","Illinois",0.00,0.00,0.00,"",96.00,802.00,,,,,,
13,6,2018-01-13,"BWI","MD","Maryland","BNA","TN","Tennessee",4.00,0.00,0.00,"",95.00,587.00,,,,,,
14,7,2018-01-14,"EWR","NJ","New Jersey","PHX","AZ","Arizona",62.00,30.00,0.00,"",294.00,2133.00,0.00,0.00,30.00,0.00,0.00,
26,5,2018-01-26,"ORD","IL","Illinois","CLT","NC","North Carolina",0.00,0.00,0.00,"",81.00,599.00,,,,,,
9,2,2018-01-09,"DEN","CO","Colorado","ABQ","NM","New Mexico",0.00,0.00,0.00,"",57.00,349.00,,,,,,
27,6,2018-01-27,"PHX","AZ","Arizona","FAT","CA","California",0.00,0.00,0.00,"",82.00,493.00,,,,,,
20,6,2018-01-20,"MLI","IL","Illinois","DFW","TX","Texas",1.00,0.00,0.00,"",95.00,691.00,,,,,,
31,3,2018-01-31,"PDX","OR","Oregon","SFO","CA","California",0.00,0.00,0.00,"",79.00,550.00,,,,,,
1,1,2018-01-01,"DFW","TX","Texas","PIT","PA","Pennsylvania",50.00,40.00,0.00,"",126.00,1067.00,1.00,0.00,0.00,0.00,39.00,
31,3,2018-01-31,"DCA","VA","Virginia","LEX","KY","Kentucky",0.00,0.00,0.00,"",73.00,414.00,,,,,,
1,1,2018-01-01,"BOS","MA","Massachusetts","BWI","MD","Maryland",0.00,0.00,0.00,"",61.00,369.00,,,,,,
12,5,2018-01-12,"SLC","UT","Utah","SGU","UT","Utah",0.00,0.00,0.00,"",38.00,272.00,,,,,,
15,1,2018-01-15,"MCO","FL","Florida","BWI","MD","Maryland",0.00,0.00,0.00,"",99.00,787.00,,,,,,
16,2,2018-01-16,"LGA","NY","New York","BOS","MA","Massachusetts",68.00,56.00,0.00,"",32.00,184.00,0.00,0.00,0.00,0.00,56.00,
12,5,2018-01-12,"PHL","PA","Pennsylvania","CLT","NC","North Carolina",1.00,0.00,0.00,"",72.00,449.00,,,,,,
24,3,2018-01-24,"LAX","CA","California","FAT","CA","California",0.00,0.00,0.00,"",36.00,209.00,,,,,,
10,3,2018-01-10,"FLL","FL","Florida","ATL","GA","Georgia",0.00,0.00,0.00,"",90.00,581.00,,,,,,
