"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
18,4,2018-01-18,"BUR","CA","California","SFO","CA","California",39.00,33.00,0.00,"",59.00,326.00,0.00,0.00,33.00,0.00,0.00,
9,2,2018-01-09,"EWR","NJ","New Jersey","RIC","VA","Virginia",0.00,0.00,0.00,"",49.00,277.00,,,,,,
8,1,2018-01-08,"DEN","CO","Colorado","MIA","FL","Florida",0.00,0.00,0.00,"",195.00,1709.00,,,,,,
12,5,2018-01-12,"HNL","HI","Hawaii","ITO","HI","Hawaii",0.00,0.00,0.00,"",35.00,216.00,,,,,,
23,2,2018-01-23,"PDX","OR","Oregon","DEN","CO","Colorado",0.00,0.00,0.00,"",120.00,991.00,,,,,,
30,2,2018-01-30,"CLT","NC","North Carolina","LGA","NY","New York",108.00,104.00,0.00,"",80.00,544.00,0.00,0.00,0.00,0.00,104.00,
14,7,2018-01-14,"MSP","MN","Minnesota","SEA","WA","Washington",0.00,5.00,0.00,"",198.00,1399.00,,,,,,
15,1,2018-01-15,"DFW","TX","Texas","IAD","VA","Virginia",0.00,0.00,0.00,"",134.00,1172.00,,,,,,
21,7,2018-01-21,"ORD","IL","Illinois","CVG","KY","Kentucky",0.00,0.00,0.00,"",43.00,264.00,,,,,,
5,5,2018-01-05,"LAX","CA","California","MSP","MN","Minnesota",8.00,0.00,0.00,"",190.00,1535.00,,,,,,
11,4,2018-01-11,"BTV","VT","Vermont","DCA","VA","Virginia",0.00,0.00,0.00,"",77.00,437.00,,,,,,
3,3,2018-01-03,"DFW","TX","Texas","MIA","FL","Florida",4.00,0.00,0.00,"",139.00,1121.00,,,,,,
27,6,2018-01-27,"SJC","CA","California","LAS","NV","Nevada",12.00,0.00,0.00,"",55.00,386.00,,,,,,
30,2,2018-01-30,"MDW","IL","Illinois","STL","MO","Missouri",0.00,0.00,0.00,"",44.00,251.00,,,,,,
26,5,2018-01-26,"MCO","FL","Florida","SJU","PR","Puerto Rico",65.00,67.00,0.00,"",146.00,1189.00,65.00,0.00,2.00,0.00,0.00,
7,7,2018-01-07,"SLC","UT","Utah","LAS","NV","Nevada",0.00,0.00,0.00,"",58.00,368.00,,,,,,
1,1,2018-01-01,"DCA","VA","Virginia","ATL","GA","Georgia",0.00,0.00,0.00,"",94.00,547.00,,,,,,
15,1,2018-01-15,"DEN","CO","Colorado","COS","CO","Colorado",42.00,34.00,0.00,"",15.00,73.00,34.00,0.00,0.00,0.00,0.00,
3,3,2018-01-03,"LAX","CA","California","SEA","WA","Washington",0.00,0.00,0.00,"",122.00,954.00,,,,,,
13,6,2018-01-13,"DEN","CO","Colorado","SAT","TX","Texas",0.00,0.00,0.00,"",96.00,794.00,,,,,,
18,4,2018-01-18,"SLC","UT","Utah","SFO","CA","California",0.00,0.00,0.00,"",94.00,599.00,,,,,,
6,6,2018-01-06,"RNO","NV","Nevada","MSP","MN","Minnesota",14.00,0.00,0.00,"",166.00,1405.00,,,,,,
3,3,2018-01-03,"SAN","CA","California","MDW","IL","Illinois",2.00,0.00,0.00,"",208.00,1728.00,,,,,,
4,4,2018-01-04,"MIA","FL","Florida","GNV","FL","Florida",0.00,0.00,0.00,"",51.00,294.00,,,,,,
9,2,2018-01-09,"DEN","CO","Colorado","LAS","NV","Nevada",181.00,182.00,0.00,"",96.00,628.00,0.00,0.00,182.00,0.00,0.00,
11,4,2018-01-11,"DTW","MI","Michigan","TPA","FL","Florida",0.00,0.00,0.00,"",133.00,983.00,,,,,,
23,2,2018-01-23,"LGA","NY","New York","DCA","VA","Virginia",0.00,0.00,0.00,"",55.00,214.00,,,,,,
30,2,2018-01-30,"BDL","CT","Connecticut","TPA","FL","Florida",0.00,0.00,0.00,"",160.00,1111.00,,,,,,
30,2,2018-01-30,"LAS","NV","Nevada","MCO","FL","Florida",0.00,0.00,0.00,"",235.00,2039.00,,,,,,
22,1,2018-01-22,"OAK","CA","California","LAX","CA","California",0.00,2.00,0.00,"",52.00,337.00,,,,,,
13,6,2018-01-13,"EWR","NJ","New Jersey","MCO","FL","Florida",0.00,18.00,0.00,"",158.00,937.00,0.00,0.00,18.00,0.00,0.00,
9,2,2018-01-09,"HNL","HI","Hawaii","LAX","CA","California",0.00,20.00,0.00,"",322.00,2556.00,20.00,0.00,0.00,0.00,0.00,
21,7,2018-01-21,"ORD","IL","Illinois","SFO","CA","California",0.00,0.00,0.00,"",251.00,1846.00,,,,,,
28,7,2018-01-28,"PHL","PA","Pennsylvania","TPA","FL","Florida",0.00,0.00,0.00,"",138.00,920.00,,,,,,
12,5,2018-01-12,"BNA","TN","Tennessee","PIT","PA","Pennsylvania",0.00,27.00,0.00,"",64.00,462.00,0.00,0.00,27.00,0.00,0.00,
28,7,2018-01-28,"OAK","CA","California","JFK","NY","New York",17.00,19.00,0.00,"",299.00,2576.00,0.00,0.00,2.00,0.00,17.00,
8,1,2018-01-08,"DFW","TX","Texas","MIA","FL","Florida",3.00,8.00,0.00,"",143.00,1121.00,,,,,,
25,4,2018-01-25,"LAX","CA","California","SEA","WA","Washington",0.00,0.00,0.00,"",147.00,954.00,,,,,,
31,3,2018-01-31,"MSY","LA","Louisiana","AUS","TX","Texas",0.00,0.00,0.00,"",72.00,444.00,,,,,,
5,5,2018-01-05,"SFO","CA","California","LAX","CA","California",0.00,20.00,0.00,"",63.00,337.00,0.00,0.00,20.00,0.00,0.00,
11,4,2018-01-11,"ANC","AK","Alaska","CDV","AK","Alaska",0.00,0.00,0.00,"",34.00,160.00,,,,,,
16,2,2018-01-16,"ORD","IL","Illinois","LAS","NV","Nevada",11.00,0.00,0.00,"",181.00,1514.00,,,,,,
6,6,2018-01-06,"LAS","NV","Nevada","LAX","CA","California",0.00,0.00,0.00,"",43.00,236.00,,,,,,
18,4,2018-01-18,"DFW","TX","Texas","ROW","NM","New Mexico",0.00,0.00,0.00,"",63.00,435.00,,,,,,
5,5,2018-01-05,"FLL","FL","Florida","CLT","NC","North Carolina",0.00,0.00,0.00,"",92.00,632.00,,,,,,
29,1,2018-01-29,"MCI","MO","Missouri","MDW","IL","Illinois",0.00,0.00,0.00,"",60.00,405.00,,,,,,
26,5,2018-01-26,"DAL","TX","Texas","HOU","TX","Texas",26.00,23.00,0.00,"",43.00,239.00,11.00,0.00,0.00,0.00,12.00,
20,6,2018-01-20,"BWI","MD","Maryland","DTW","MI","Michigan",0.00,0.00,0.00,"",64.00,409.00,,,,,,
11,4,2018-01-11,"FLL","FL","Florida","MSP","MN","Minnesota",0.00,0.00,0.00,"",182.00,1487.00,,,,,,
12,5,2018-01-12,"CLT","NC","North Carolina","JFK","NY","New York",341.00,351.00,0.00,"",81.00,541.00,0.00,0.00,351.00,0.00,0.00,
24,3,2018-01-24,"SEA","WA","Washington","SLC","UT","Utah",0.00,0.00,0.00,"",91.00,689.00,,,,,,
27,6,2018-01-27,"IAH","TX","Texas","LRD","TX","Texas",0.00,0.00,0.00,"",51.00,301.00,,,,,,
13,6,2018-01-13,"DFW","TX","Texas","PHX","AZ","Arizona",0.00,0.00,0.00,"",126.00,868.00,,,,,,
15,1,2018-01-15,"RDD","CA","California","SFO","CA","California",0.00,0.00,0.00,"",46.00,199.00,,,,,,
29,1,2018-01-29,"JFK","NY","New York","SEA","WA","Washington",9.00,35.00,0.00,"",345.00,2422.00,0.00,9.00,26.00,0.00,0.00,
29,1,2018-01-29,"DFW","TX","Texas","SEA","WA","Washington",0.00,0.00,0.00,"",233.00,1660.00,,,,,,
13,6,2018-01-13,"TPA","FL","Florida","BUF","NY","New York",11.00,0.00,0.00,"",120.00,1053.00,,,,,,
22,1,2018-01-22,"PIT","PA","Pennsylvania","BOS","MA","Massachusetts",0.00,0.00,0.00,"",70.00,496.00,,,,,,
4,4,2018-01-04,"SAN","CA","California","LAX","CA","California",,,1.00,"A",,109.00,,,,,,
25,4,2018-01-25,"FLL","FL","Florida","IAH","TX","Texas",0.00,0.00,0.00,"",142.00,966.00,,,,,,
22,1,2018-01-22,"LAS","NV","Nevada","ONT","CA","California",0.00,0.00,0.00,"",35.00,197.00,,,,,,
15,1,2018-01-15,"DAL","TX","Texas","MSY","LA","Louisiana",16.00,12.00,0.00,"",57.00,436.00,,,,,,
11,4,2018-01-11,"SAV","GA","Georgia","DFW","TX","Texas",0.00,0.00,0.00,"",136.00,925.00,,,,,,
7,7,2018-01-07,"DTW","MI","Michigan","BDL","CT","Connecticut",0.00,0.00,0.00,"",75.00,549.00,,,,,,
5,5,2018-01-05,"BIL","MT","Montana","SLC","UT","Utah",0.00,0.00,0.00,"",62.00,387.00,,,,,,
16,2,2018-01-16,"ATL","GA","Georgia","SJC","CA","California",6.00,0.00,0.00,"",273.00,2116.00,,,,,,
22,1,2018-01-22,"IND","IN","Indiana","PHX","AZ","Arizona",0.00,6.00,0.00,"",207.00,1488.00,,,,,,
13,6,2018-01-13,"IAH","TX","Texas","BWI","MD","Maryland",0.00,0.00,0.00,"",147.00,1235.00,,,,,,
8,1,2018-01-08,"DEN","CO","Colorado","SMF","CA","California",16.00,5.00,0.00,"",131.00,909.00,,,,,,
7,7,2018-01-07,"LGA","NY","New York","DAY","OH","Ohio",7.00,0.00,0.00,"",84.00,549.00,,,,,,
9,2,2018-01-09,"IAH","TX","Texas","ORD","IL","Illinois",0.00,0.00,0.00,"",132.00,925.00,,,,,,
19,5,2018-01-19,"MIA","FL","Florida","DCA","VA","Virginia",0.00,0.00,0.00,"",131.00,919.00,,,,,,
14,7,2018-01-14,"IND","IN","Indiana","PHL","PA","Pennsylvania",0.00,0.00,0.00,"",81.00,588.00,,,,,,
21,7,2018-01-21,"MSP","MN","Minnesota","CID","IA","Iowa",0.00,0.00,0.00,"",41.00,220.00,,,,,,
4,4,2018-01-04,"PHL","PA","Pennsylvania","CVG","KY","Kentucky",,,1.00,"B",,507.00,,,,,,
20,6,2018-01-20,"DSM","IA","Iowa","DEN","CO","Colorado",0.00,0.00,0.00,"",100.00,589.00,,,,,,
8,1,2018-01-08,"SLC","UT","Utah","SFO","CA","California",71.00,54.00,0.00,"",104.00,599.00,0.00,0.00,9.00,0.00,45.00,
1,1,2018-01-01,"PIT","PA","Pennsylvania","DCA","VA","Virginia",0.00,0.00,0.00,"",38.00,204.00,,,,,,
16,2,2018-01-16,"SLC","UT","Utah","MFR","OR","Oregon",0.00,0.00,0.00,"",82.00,575.00,,,,,,
22,1,2018-01-22,"ATL","GA","Georgia","PHL","PA","Pennsylvania",0.00,0.00,0.00,"",96.00,666.00,,,,,,
1,1,2018-01-01,"SFO","CA","California","MSP","MN","Minnesota",0.00,0.00,0.00,"",189.00,1589.00,,,,,,
19,5,2018-01-19,"ORF","VA","Virginia","BOS","MA","Massachusetts",0.00,0.00,0.00,"",80.00,468.00,,,,,,
28,7,2018-01-28,"EWR","NJ","New Jersey","IND","IN","Indiana",53.00,38.00,0.00,"",107.00,645.00,2.00,0.00,0.00,0.00,36.00,
25,4,2018-01-25,"HOU","TX","Texas","OKC","OK","Oklahoma",0.00,0.00,0.00,"",61.00,419.00,,,,,,
14,7,2018-01-14,"MSP","MN","Minnesota","LAN","MI","Michigan",0.00,48.00,0.00,"",64.00,455.00,0.00,0.00,48.00,0.00,0.00,
30,2,2018-01-30,"PIT","PA","Pennsylvania","BOS","MA","Massachusetts",0.00,19.00,0.00,"",74.00,496.00,0.00,0.00,19.00,0.00,0.00,
16,2,2018-01-16,"DEN","CO","Colorado","SEA","WA","Washington",0.00,0.00,0.00,"",141.00,1024.00,,,,,,
6,6,2018-01-06,"IND","IN","Indiana","MCO","FL","Florida",0.00,0.00,0.00,"",111.00,829.00,,,,,,
20,6,2018-01-20,"LAX","CA","California","JFK","NY","New York",0.00,0.00,0.00,"",274.00,2475.00,,,,,,
9,2,2018-01-09,"MDT","PA","Pennsylvania","ATL","GA","Georgia",0.00,0.00,0.00,"",91.00,620.00,,,,,,
22,1,2018-01-22,"DEN","CO","Colorado","SNA","CA","California",0.00,0.00,0.00,"",118.00,846.00,,,,,,
11,4,2018-01-11,"DCA","VA","Virginia","MEM","TN","Tennessee",0.00,0.00,0.00,"",118.00,762.00,,,,,,
9,2,2018-01-09,"STL","MO","Missouri","DEN","CO","Colorado",0.00,0.00,0.00,"",129.00,770.00,,,,,,
27,6,2018-01-27,"SBP","CA","California","LAX","CA","California",0.00,0.00,0.00,"",38.00,156.00,,,,,,
24,3,2018-01-24,"BUR","CA","California","SFO","CA","California",0.00,0.00,0.00,"",63.00,326.00,,,,,,
17,3,2018-01-17,"DEN","CO","Colorado","MDW","IL","Illinois",2.00,5.00,0.00,"",120.00,895.00,,,,,,
1,1,2018-01-01,"RNO","NV","Nevada","SJC","CA","California",0.00,0.00,0.00,"",40.00,188.00,,,,,,
3,3,2018-01-03,"EWR","NJ","New Jersey","BWI","MD","Maryland",,,1.00,"B",,169.00,,,,,,
13,6,2018-01-13,"IAH","TX","Texas","CVG","KY","Kentucky",0.00,0.00,0.00,"",110.00,871.00,,,,,,
16,2,2018-01-16,"LGA","NY","New York","HOU","TX","Texas",0.00,0.00,0.00,"",234.00,1428.00,,,,,,
23,2,2018-01-23,"PDX","OR","Oregon","LAS","NV","Nevada",2.00,0.00,0.00,"",106.00,763.00,,,,,,
10,3,2018-01-10,"DTW","MI","Michigan","SFO","CA","California",27.00,5.00,0.00,"",289.00,2079.00,,,,,,
21,7,2018-01-21,"MIA","FL","Florida","CHS","SC","South Carolina",0.00,0.00,0.00,"",79.00,489.00,,,,,,
11,4,2018-01-11,"BNA","TN","Tennessee","LGA","NY","New York",0.00,0.00,0.00,"",100.00,764.00,,,,,,
4,4,2018-01-04,"DFW","TX","Texas","TUL","OK","Oklahoma",0.00,2.00,0.00,"",41.00,237.00,,,,,,
21,7,2018-01-21,"PNS","FL","Florida","DCA","VA","Virginia",0.00,0.00,0.00,"",115.00,816.00,,,,,,
23,2,2018-01-23,"CLT","NC","North Carolina","HPN","NY","New York",0.00,0.00,0.00,"",81.00,564.00,,,,,,
21,7,2018-01-21,"DCA","VA","Virginia","MHT","NH","New Hampshire",0.00,0.00,0.00,"",59.00,406.00,,,,,,
23,2,2018-01-23,"PHX","AZ","Arizona","SAF","NM","New Mexico",0.00,0.00,0.00,"",56.00,370.00,,,,,,
18,4,2018-01-18,"ONT","CA","California","SMF","CA","California",48.00,41.00,0.00,"",59.00,390.00,1.00,0.00,0.00,0.00,40.00,
4,4,2018-01-04,"SGF","MO","Missouri","ORD","IL","Illinois",0.00,7.00,0.00,"",70.00,438.00,,,,,,
19,5,2018-01-19,"DFW","TX","Texas","ABI","TX","Texas",0.00,0.00,0.00,"",28.00,158.00,,,,,,
10,3,2018-01-10,"BNA","TN","Tennessee","SAT","TX","Texas",0.00,0.00,0.00,"",123.00,822.00,,,,,,
5,5,2018-01-05,"ORD","IL","Illinois","ROC","NY","New York",0.00,10.00,0.00,"",77.00,528.00,,,,,,
10,3,2018-01-10,"CLE","OH","Ohio","IAD","VA","Virginia",5.00,0.00,0.00,"",46.00,288.00,,,,,,
9,2,2018-01-09,"ATL","GA","Georgia","SJU","PR","Puerto Rico",3.00,0.00,0.00,"",189.00,1547.00,,,,,,
17,3,2018-01-17,"SJU","PR","Puerto Rico","MIA","FL","Florida",0.00,0.00,0.00,"",142.00,1045.00,,,,,,
26,5,2018-01-26,"ATL","GA","Georgia","TPA","FL","Florida",6.00,13.00,0.00,"",75.00,406.00,,,,,,
27,6,2018-01-27,"BOS","MA","Massachusetts","HOU","TX","Texas",0.00,24.00,0.00,"",288.00,1609.00,0.00,0.00,24.00,0.00,0.00,
4,4,2018-01-04,"CLT","NC","North Carolina","SDF","KY","Kentucky",3.00,0.00,0.00,"",58.00,335.00,,,,,,
6,6,2018-01-06,"LAX","CA","California","ASE","CO","Colorado",13.00,0.00,0.00,"",95.00,737.00,,,,,,
29,1,2018-01-29,"ORD","IL","Illinois","TPA","FL","Florida",0.00,0.00,0.00,"",130.00,1012.00,,,,,,
17,3,2018-01-17,"CHA","TN","Tennessee","ATL","GA","Georgia",258.00,260.00,0.00,"",32.00,106.00,0.00,0.00,76.00,0.00,184.00,
14,7,2018-01-14,"DFW","TX","Texas","MIA","FL","Florida",13.00,0.00,0.00,"",127.00,1121.00,,,,,,
2,2,2018-01-02,"SFO","CA","California","IAH","TX","Texas",12.00,0.00,0.00,"",179.00,1635.00,,,,,,
8,1,2018-01-08,"BNA","TN","Tennessee","TPA","FL","Florida",0.00,0.00,0.00,"",84.00,612.00,,,,,,
20,6,2018-01-20,"LGB","CA","California","LAS","NV","Nevada",0.00,0.00,0.00,"",43.00,231.00,,,,,,
9,2,2018-01-09,"DEN","CO","Colorado","DFW","TX","Texas",0.00,7.00,0.00,"",103.00,641.00,,,,,,
22,1,2018-01-22,"RDU","NC","North Carolina","EWR","NJ","New Jersey",131.00,123.00,0.00,"",61.00,416.00,123.00,0.00,0.00,0.00,0.00,
15,1,2018-01-15,"MDW","IL","Illinois","DCA","VA","Virginia",31.00,54.00,0.00,"",81.00,601.00,31.00,0.00,23.00,0.00,0.00,
11,4,2018-01-11,"ORD","IL","Illinois","LAX","CA","California",0.00,1.00,0.00,"",227.00,1744.00,,,,,,
11,4,2018-01-11,"STX","VI","U.S. Virgin Islands","MIA","FL","Florida",0.00,0.00,0.00,"",163.00,1139.00,,,,,,
12,5,2018-01-12,"FLL","FL","Florida","ATL","GA","Georgia",0.00,0.00,0.00,"",79.00,581.00,,,,,,
2,2,2018-01-02,"MIA","FL","Florida","LGA","NY","New York",0.00,0.00,0.00,"",145.00,1096.00,,,,,,
18,4,2018-01-18,"MCI","MO","Missouri","DFW","TX","Texas",0.00,0.00,0.00,"",69.00,460.00,,,,,,
9,2,2018-01-09,"LAX","CA","California","MSY","LA","Louisiana",0.00,0.00,0.00,"",185.00,1670.00,,,,,,
12,5,2018-01-12,"SFO","CA","California","SAN","CA","California",,,1.00,"B",,447.00,,,,,,
17,3,2018-01-17,"OMA","NE","Nebraska","MIA","FL","Florida",0.00,15.00,0.00,"",184.00,1393.00,0.00,0.00,15.00,0.00,0.00,
9,2,2018-01-09,"BNA","TN","Tennessee","SAT","TX","Texas",0.00,0.00,0.00,"",115.00,822.00,,,,,,
31,3,2018-01-31,"CLT","NC","North Carolina","DSM","IA","Iowa",0.00,5.00,0.00,"",124.00,815.00,,,,,,
18,4,2018-01-18,"SFO","CA","California","PDX","OR","Oregon",0.00,0.00,0.00,"",75.00,550.00,,,,,,
20,6,2018-01-20,"IAH","TX","Texas","SJU","PR","Puerto Rico",0.00,0.00,0.00,"",222.00,2007.00,,,,,,
29,1,2018-01-29,"BNA","TN","Tennessee","CLE","OH","Ohio",0.00,0.00,0.00,"",59.00,448.00,,,,,,
16,2,2018-01-16,"JAC","WY","Wyoming","SLC","UT","Utah",204.00,172.00,0.00,"",36.00,205.00,3.00,0.00,0.00,0.00,169.00,
24,3,2018-01-24,"SRQ","FL","Florida","DCA","VA","Virginia",0.00,0.00,0.00,"",114.00,851.00,,,,,,
15,1,2018-01-15,"EWR","NJ","New Jersey","PIT","PA","Pennsylvania",0.00,0.00,0.00,"",62.00,319.00,,,,,,
10,3,2018-01-10,"ATL","GA","Georgia","SLC","UT","Utah",0.00,0.00,0.00,"",211.00,1590.00,,,,,,
2,2,2018-01-02,"ATL","GA","Georgia","BWI","MD","Maryland",11.00,2.00,0.00,"",78.00,577.00,,,,,,
4,4,2018-01-04,"LAX","CA","California","SJC","CA","California",0.00,0.00,0.00,"",50.00,308.00,,,,,,
20,6,2018-01-20,"PVD","RI","Rhode Island","ATL","GA","Georgia",0.00,0.00,0.00,"",126.00,903.00,,,,,,
4,4,2018-01-04,"SNA","CA","California","ORD","IL","Illinois",0.00,0.00,0.00,"",211.00,1726.00,,,,,,
12,5,2018-01-12,"IAD","VA","Virginia","SEA","WA","Washington",0.00,0.00,0.00,"",320.00,2306.00,,,,,,
15,1,2018-01-15,"BNA","TN","Tennessee","TPA","FL","Florida",10.00,10.00,0.00,"",88.00,612.00,,,,,,
26,5,2018-01-26,"DEN","CO","Colorado","PHX","AZ","Arizona",0.00,2.00,0.00,"",95.00,602.00,,,,,,
11,4,2018-01-11,"CLT","NC","North Carolina","RSW","FL","Florida",0.00,0.00,0.00,"",87.00,600.00,,,,,,
6,6,2018-01-06,"ATL","GA","Georgia","SFO","CA","California",0.00,7.00,0.00,"",316.00,2139.00,,,,,,
9,2,2018-01-09,"DAL","TX","Texas","HOU","TX","Texas",3.00,1.00,0.00,"",42.00,239.00,,,,,,
27,6,2018-01-27,"DEN","CO","Colorado","DCA","VA","Virginia",0.00,0.00,0.00,"",159.00,1476.00,,,,,,
24,3,2018-01-24,"LGA","NY","New York","MKE","WI","Wisconsin",0.00,0.00,0.00,"",110.00,738.00,,,,,,
31,3,2018-01-31,"PBI","FL","Florida","BOS","MA","Massachusetts",0.00,8.00,0.00,"",172.00,1197.00,,,,,,
16,2,2018-01-16,"PIE","FL","Florida","AVL","NC","North Carolina",0.00,0.00,0.00,"",68.00,519.00,,,,,,
16,2,2018-01-16,"ABQ","NM","New Mexico","DEN","CO","Colorado",0.00,0.00,0.00,"",59.00,349.00,,,,,,
23,2,2018-01-23,"MSP","MN","Minnesota","EWR","NJ","New Jersey",,,1.00,"B",,1008.00,,,,,,
31,3,2018-01-31,"OMA","NE","Nebraska","MSP","MN","Minnesota",0.00,0.00,0.00,"",48.00,282.00,,,,,,
5,5,2018-01-05,"ATL","GA","Georgia","MDW","IL","Illinois",0.00,0.00,0.00,"",95.00,591.00,,,,,,
26,5,2018-01-26,"MIA","FL","Florida","GNV","FL","Florida",0.00,0.00,0.00,"",48.00,294.00,,,,,,
15,1,2018-01-15,"HOU","TX","Texas","DAL","TX","Texas",5.00,5.00,0.00,"",43.00,239.00,,,,,,
2,2,2018-01-02,"DFW","TX","Texas","BTR","LA","Louisiana",40.00,52.00,0.00,"",55.00,383.00,40.00,0.00,12.00,0.00,0.00,
20,6,2018-01-20,"BOS","MA","Massachusetts","EWR","NJ","New Jersey",0.00,0.00,0.00,"",54.00,200.00,,,,,,
25,4,2018-01-25,"BNA","TN","Tennessee","RDU","NC","North Carolina",0.00,0.00,0.00,"",67.00,442.00,,,,,,
16,2,2018-01-16,"SLC","UT","Utah","SAN","CA","California",0.00,0.00,0.00,"",91.00,626.00,,,,,,
8,1,2018-01-08,"ANC","AK","Alaska","LAX","CA","California",0.00,0.00,0.00,"",280.00,2345.00,,,,,,
24,3,2018-01-24,"CMH","OH","Ohio","ORD","IL","Illinois",53.00,48.00,0.00,"",50.00,296.00,0.00,0.00,48.00,0.00,0.00,
31,3,2018-01-31,"DFW","TX","Texas","PSP","CA","California",29.00,20.00,0.00,"",154.00,1126.00,17.00,0.00,0.00,0.00,3.00,
16,2,2018-01-16,"IAH","TX","Texas","MCI","MO","Missouri",,,1.00,"B",,643.00,,,,,,
26,5,2018-01-26,"LGA","NY","New York","DFW","TX","Texas",0.00,0.00,0.00,"",207.00,1389.00,,,,,,
14,7,2018-01-14,"ELP","TX","Texas","PHX","AZ","Arizona",28.00,3.00,0.00,"",59.00,347.00,,,,,,
22,1,2018-01-22,"BWI","MD","Maryland","MCO","FL","Florida",0.00,0.00,0.00,"",113.00,787.00,,,,,,
18,4,2018-01-18,"DFW","TX","Texas","MKE","WI","Wisconsin",4.00,2.00,0.00,"",119.00,853.00,,,,,,
27,6,2018-01-27,"ATL","GA","Georgia","SHV","LA","Louisiana",19.00,26.00,0.00,"",90.00,551.00,19.00,0.00,7.00,0.00,0.00,
7,7,2018-01-07,"PHX","AZ","Arizona","MKE","WI","Wisconsin",0.00,0.00,0.00,"",184.00,1460.00,,,,,,
22,1,2018-01-22,"HNL","HI","Hawaii","DEN","CO","Colorado",0.00,0.00,0.00,"",355.00,3365.00,,,,,,
19,5,2018-01-19,"CLT","NC","North Carolina","SRQ","FL","Florida",,,1.00,"B",,547.00,,,,,,
3,3,2018-01-03,"DFW","TX","Texas","SDF","KY","Kentucky",28.00,35.00,0.00,"",99.00,733.00,28.00,0.00,7.00,0.00,0.00,
3,3,2018-01-03,"MCO","FL","Florida","EWR","NJ","New Jersey",0.00,26.00,0.00,"",119.00,937.00,0.00,0.00,26.00,0.00,0.00,
7,7,2018-01-07,"HNL","HI","Hawaii","OGG","HI","Hawaii",0.00,0.00,0.00,"",22.00,100.00,,,,,,
16,2,2018-01-16,"BOS","MA","Massachusetts","ORD","IL","Illinois",0.00,0.00,0.00,"",139.00,867.00,,,,,,
17,3,2018-01-17,"COS","CO","Colorado","MCO","FL","Florida",0.00,0.00,0.00,"",174.00,1520.00,,,,,,
17,3,2018-01-17,"HNL","HI","Hawaii","OGG","HI","Hawaii",0.00,0.00,0.00,"",22.00,100.00,,,,,,
8,1,2018-01-08,"BOS","MA","Massachusetts","DCA","VA","Virginia",0.00,0.00,0.00,"",77.00,399.00,,,,,,
16,2,2018-01-16,"SLC","UT","Utah","DFW","TX","Texas",0.00,0.00,0.00,"",134.00,989.00,,,,,,
7,7,2018-01-07,"LAX","CA","California","ORD","IL","Illinois",72.00,118.00,0.00,"",256.00,1744.00,72.00,0.00,46.00,0.00,0.00,
7,7,2018-01-07,"EWR","NJ","New Jersey","CLT","NC","North Carolina",0.00,0.00,0.00,"",80.00,529.00,,,,,,
28,7,2018-01-28,"HOU","TX","Texas","ELP","TX","Texas",0.00,0.00,0.00,"",94.00,677.00,,,,,,
17,3,2018-01-17,"BOI","ID","Idaho","MSP","MN","Minnesota",0.00,0.00,0.00,"",150.00,1142.00,,,,,,
12,5,2018-01-12,"SEA","WA","Washington","BOS","MA","Massachusetts",0.00,10.00,0.00,"",295.00,2496.00,,,,,,
22,1,2018-01-22,"DFW","TX","Texas","SPI","IL","Illinois",0.00,0.00,0.00,"",81.00,630.00,,,,,,
20,6,2018-01-20,"DEN","CO","Colorado","JFK","NY","New York",0.00,10.00,0.00,"",178.00,1626.00,,,,,,
2,2,2018-01-02,"CLT","NC","North Carolina","OAJ","NC","North Carolina",40.00,32.00,0.00,"",35.00,191.00,32.00,0.00,0.00,0.00,0.00,
10,3,2018-01-10,"SJU","PR","Puerto Rico","BDL","CT","Connecticut",4.00,3.00,0.00,"",216.00,1666.00,,,,,,
18,4,2018-01-18,"ROW","NM","New Mexico","DFW","TX","Texas",0.00,0.00,0.00,"",69.00,435.00,,,,,,
7,7,2018-01-07,"PHL","PA","Pennsylvania","MCO","FL","Florida",24.00,15.00,0.00,"",123.00,861.00,9.00,0.00,0.00,0.00,6.00,
28,7,2018-01-28,"DFW","TX","Texas","BNA","TN","Tennessee",0.00,0.00,0.00,"",78.00,631.00,,,,,,
14,7,2018-01-14,"PDX","OR","Oregon","ATL","GA","Georgia",4.00,0.00,0.00,"",230.00,2172.00,,,,,,
23,2,2018-01-23,"EWR","NJ","New Jersey","CLE","OH","Ohio",0.00,0.00,0.00,"",64.00,404.00,,,,,,
10,3,2018-01-10,"SFO","CA","California","BOI","ID","Idaho",0.00,0.00,0.00,"",71.00,522.00,,,,,,
6,6,2018-01-06,"SAT","TX","Texas","DAL","TX","Texas",0.00,0.00,0.00,"",44.00,248.00,,,,,,
15,1,2018-01-15,"ATL","GA","Georgia","AUS","TX","Texas",0.00,0.00,0.00,"",128.00,813.00,,,,,,
29,1,2018-01-29,"MLI","IL","Illinois","MSP","MN","Minnesota",15.00,28.00,0.00,"",55.00,274.00,15.00,0.00,13.00,0.00,0.00,
