AK,36396
AL,22285
AR,13871
AZ,172947
CA,756448
CO,244856
CT,22211
FL,457489
GA,377288
HI,104697
IA,13961
ID,22513
IL,362857
IN,40048
KS,9876
KY,34653
LA,66302
MA,127175
MD,101015
ME,6790
MI,158271
MN,142632
MO,105635
MS,9569
MT,17430
NC,162891
ND,10961
NE,22870
NH,6180
NJ,121631
NM,21609
NV,168151
NY,245371
OH,71211
OK,29441
OR,74109
PA,112754
PR,26897
RI,13755
SC,30447
SD,8332
ST,0.0
TN,81934
TT,484
TX,557534
UT,115337
VA,143040
VI,5254
VT,3274
WA,153388
WI,50878
WV,2124
WY,7549
