P1	P2	A	D
6.136461303368371256e-01	-5.840150200872532560e-01	2.600000000000000000e+01	2.200000000000000000e+01
7.626856305999708319e+00	3.181164518321339951e-01	1.280000000000000000e+02	1.300000000000000000e+02
-1.253426310584572878e+00	1.321557883877266359e+00	4.000000000000000000e+00	9.000000000000000000e+00
-2.120031388583706988e+00	3.704154496250426032e+00	0.000000000000000000e+00	2.000000000000000000e+00
1.290652578800251415e+00	5.863565151839550404e-01	3.400000000000000000e+01	5.000000000000000000e+01
7.031963857251067873e-01	2.382792828354193038e+00	4.000000000000000000e+01	3.700000000000000000e+01
-5.766656554076707852e-01	-7.023556348827252327e-01	1.300000000000000000e+01	6.000000000000000000e+00
-5.992838249414840224e-01	3.959113327939929761e+00	2.000000000000000000e+01	3.300000000000000000e+01
-9.826989551939795398e-01	-4.868714385576553005e-01	0.000000000000000000e+00	4.000000000000000000e+00
1.545298127945931022e+00	-1.210664777966139027e+00	3.400000000000000000e+01	4.000000000000000000e+01
-8.696701234041027684e-01	-5.034888528939733821e-01	0.000000000000000000e+00	9.000000000000000000e+00
-8.223360927335630066e-01	-1.266778868072962583e+00	0.000000000000000000e+00	2.000000000000000000e+00
5.832795490576405673e-01	-8.916021596992405041e-01	2.800000000000000000e+01	1.400000000000000000e+01
1.430475715669185188e+00	2.619552851853164110e-01	4.000000000000000000e+01	4.500000000000000000e+01
2.855133401168407636e-01	-1.385680577471507302e+00	1.500000000000000000e+01	2.000000000000000000e+01
-1.025246755170681867e+00	-4.909067392710677602e-01	0.000000000000000000e+00	2.000000000000000000e+00
-1.595076842305746534e-01	5.855472815416185028e-01	1.800000000000000000e+01	1.700000000000000000e+01
-7.779050669256967199e-01	-1.062252680018037410e+00	6.000000000000000000e+00	0.000000000000000000e+00
-2.479097863573519744e-01	-1.637797551088723491e+00	1.000000000000000000e+00	2.300000000000000000e+01
1.390163582385026464e+00	-1.983703614064743770e-01	3.100000000000000000e+01	4.900000000000000000e+01
-5.291196755032278043e-01	-1.481085240619683052e+00	0.000000000000000000e+00	1.300000000000000000e+01
3.006781251923392739e-01	3.627437654335817108e+00	3.500000000000000000e+01	3.900000000000000000e+01
-3.887673662955302700e-01	-1.153503459316256974e+00	5.000000000000000000e+00	1.800000000000000000e+01
6.200377010896032992e+00	1.038499081371065058e+00	1.220000000000000000e+02	1.040000000000000000e+02
-1.828716134615584910e+00	2.910109779774385341e+00	0.000000000000000000e+00	6.000000000000000000e+00
-5.893497099155572405e-01	-5.475295221867175766e-01	6.000000000000000000e+00	1.500000000000000000e+01
-1.045629506770230366e+00	1.015250987641130198e+00	1.400000000000000000e+01	4.000000000000000000e+00
-3.457366824010702500e-01	-1.381364443794436569e+00	8.000000000000000000e+00	1.400000000000000000e+01
-5.825781475719480351e-01	6.945229753578398002e-01	1.800000000000000000e+01	1.000000000000000000e+00
-9.001181290731162798e-01	-8.935136729045600745e-01	0.000000000000000000e+00	3.000000000000000000e+00
3.660144811407809229e+00	-2.907803240353208363e-01	6.300000000000000000e+01	8.800000000000000000e+01
-6.070410207475795961e-01	1.686554823266911196e+00	2.400000000000000000e+01	0.000000000000000000e+00
-1.462299361002310505e+00	1.275481728496809408e+00	3.000000000000000000e+00	0.000000000000000000e+00
-5.361374637013857081e-01	-1.635612517707865754e+00	1.000000000000000000e+01	0.000000000000000000e+00
-2.061479083407120605e+00	3.375143105255017151e+00	0.000000000000000000e+00	1.000000000000000000e+00
-1.095207968057872350e+00	1.673349377304987617e-02	0.000000000000000000e+00	5.000000000000000000e+00
-6.147985064041224801e-01	-6.470080051522664188e-01	1.400000000000000000e+01	4.000000000000000000e+00
-7.707977301975148521e-01	3.528711902647852505e-01	1.300000000000000000e+01	1.000000000000000000e+01
-1.601358843400138454e+00	1.611724945939701170e+00	0.000000000000000000e+00	1.000000000000000000e+00
6.164946927903186547e-01	-5.985236645664073762e-01	1.500000000000000000e+01	4.400000000000000000e+01
1.301520364204047597e+00	-1.195638456192438470e+00	3.100000000000000000e+01	3.300000000000000000e+01
-8.559604679513027614e-01	-9.058984959656714020e-01	0.000000000000000000e+00	5.000000000000000000e+00
5.251851176097859231e-01	-3.632326499674871090e-01	2.400000000000000000e+01	2.300000000000000000e+01
-7.125647447157421599e-01	-1.237968781788935102e+00	7.000000000000000000e+00	0.000000000000000000e+00
-9.082308261157853169e-01	-7.870430425879482161e-01	0.000000000000000000e+00	4.000000000000000000e+00
5.246571228365188855e-01	3.475527975183030360e+00	3.000000000000000000e+01	6.200000000000000000e+01
-9.997170646214503797e-01	-6.886627818034947168e-01	0.000000000000000000e+00	1.000000000000000000e+00
1.628453109724354642e+00	5.875620121619079539e-01	4.000000000000000000e+01	5.000000000000000000e+01
3.190572754928942878e+00	-9.768566815729964325e-01	5.600000000000000000e+01	6.800000000000000000e+01
-8.777459002650511710e-01	-1.155881413024858473e+00	0.000000000000000000e+00	1.000000000000000000e+00
-1.040910394127528837e+00	-2.687437828234135254e-02	1.000000000000000000e+00	6.000000000000000000e+00
2.116353998090392263e+00	-9.717829818303129752e-01	4.800000000000000000e+01	6.600000000000000000e+01
5.097496911295227306e-01	-1.008792824416874234e+00	3.300000000000000000e+01	1.300000000000000000e+01
-1.390783748133887165e+00	8.156557125582589718e-01	1.000000000000000000e+00	0.000000000000000000e+00
-9.160557507128037624e-01	4.706045201307152426e-01	1.000000000000000000e+01	8.000000000000000000e+00
-1.705569784519394450e+00	3.113134331426902879e+00	5.000000000000000000e+00	9.000000000000000000e+00
-9.755938333848707122e-01	-7.039368828450899285e-01	0.000000000000000000e+00	2.000000000000000000e+00
2.684750149292074894e+00	4.566245844505385953e+00	9.800000000000000000e+01	4.000000000000000000e+01
3.852784011058553393e+00	-9.657963384796121042e-01	6.500000000000000000e+01	7.900000000000000000e+01
-1.946062883967602408e+00	3.007922155697944966e+00	0.000000000000000000e+00	2.000000000000000000e+00
-1.369866183230212586e+00	1.150278556407583030e+00	2.000000000000000000e+00	4.000000000000000000e+00
2.566894637416165637e+00	4.363634664028106513e-01	5.800000000000000000e+01	5.300000000000000000e+01
-1.832637384638266864e+00	3.032838382030370372e+00	7.000000000000000000e+00	0.000000000000000000e+00
2.541426388423633220e-01	3.482893200189500216e-01	2.900000000000000000e+01	4.000000000000000000e+01
3.943369915177748375e+00	3.070114935600274819e+00	8.700000000000000000e+01	8.600000000000000000e+01
1.227363723272322238e+00	-1.255889096504769320e+00	2.600000000000000000e+01	4.000000000000000000e+01
1.700627248011088888e+00	-1.064649238665235816e-02	3.500000000000000000e+01	6.000000000000000000e+01
-7.388251844220825593e-01	-1.691346287444172924e+00	1.000000000000000000e+00	0.000000000000000000e+00
-2.325640623938624307e-01	1.544565765577637440e-03	2.200000000000000000e+01	1.000000000000000000e+00
1.623342650219729677e+00	-4.558843067091056245e-01	3.100000000000000000e+01	5.700000000000000000e+01
-1.319401102672923543e+00	1.186226149649911354e+00	0.000000000000000000e+00	9.000000000000000000e+00
-5.994419552275634944e-01	1.286548536016962618e+00	1.500000000000000000e+01	1.500000000000000000e+01
4.370524423051792340e+00	-1.331438043298843465e-01	7.700000000000000000e+01	9.300000000000000000e+01
-1.197071630830756517e+00	6.039424907519529151e-02	1.000000000000000000e+00	0.000000000000000000e+00
-1.459820023612268702e+00	1.061964946185787406e+00	1.000000000000000000e+00	0.000000000000000000e+00
-1.084076632206566027e+00	-3.826535864664903919e-01	0.000000000000000000e+00	1.000000000000000000e+00
-1.059663225672156317e+00	-4.658850205676788869e-01	1.000000000000000000e+00	0.000000000000000000e+00
-1.124991347585739154e+00	-6.067561760491797795e-02	0.000000000000000000e+00	3.000000000000000000e+00
-1.419729459513157099e+00	9.867095065119422248e-01	0.000000000000000000e+00	2.000000000000000000e+00
-1.118729378847760136e+00	-8.566509650190445857e-02	0.000000000000000000e+00	3.000000000000000000e+00
-1.121340954833697889e+00	2.554230969445207000e-01	0.000000000000000000e+00	7.000000000000000000e+00
-9.915085418365818803e-01	-2.770395426456139787e-01	6.000000000000000000e+00	0.000000000000000000e+00
-7.872854845066729057e-01	-1.958352851202374290e-01	0.000000000000000000e+00	1.700000000000000000e+01
3.005264999794761582e+00	8.282013473516878221e-01	6.500000000000000000e+01	6.700000000000000000e+01
-4.896853007691447934e-01	-1.577381707452003123e+00	1.200000000000000000e+01	1.000000000000000000e+00
2.857839722222800805e-01	4.505899075599165693e-01	2.200000000000000000e+01	2.600000000000000000e+01
3.784332881683370453e-01	-9.400277143035251637e-01	1.600000000000000000e+01	2.800000000000000000e+01
2.142370113304054691e+00	-3.062417343870943998e-01	5.100000000000000000e+01	4.400000000000000000e+01
1.567772092132240669e+00	-5.321332893392910490e-01	3.400000000000000000e+01	4.700000000000000000e+01
3.216596578324029121e-01	-7.443493286853840596e-01	3.100000000000000000e+01	0.000000000000000000e+00
-5.538400264740993562e-01	-1.153241342888241538e+00	1.400000000000000000e+01	1.000000000000000000e+00
-1.079179088045717050e+00	6.861685210737262786e-01	1.300000000000000000e+01	0.000000000000000000e+00
-1.128631713347324039e+00	3.243010739999513392e-02	0.000000000000000000e+00	4.000000000000000000e+00
1.267516736804470856e+00	1.237150022573822561e+00	4.400000000000000000e+01	3.700000000000000000e+01
-1.052868528165693318e+00	3.703213040917446297e-01	7.000000000000000000e+00	4.000000000000000000e+00
-4.832625401762269957e-01	-9.704737866484631770e-01	0.000000000000000000e+00	2.200000000000000000e+01
6.778005430647930929e+00	9.732030195447102239e-01	1.240000000000000000e+02	1.110000000000000000e+02
-6.342372480221977193e-01	-1.529415698362482701e+00	0.000000000000000000e+00	8.000000000000000000e+00
-8.830178238160435455e-01	-6.379385122348038006e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.066504378045894930e+00	1.061724459045740865e+00	4.000000000000000000e+00	1.500000000000000000e+01
-1.269963040395013731e+00	5.018862610917476097e-01	2.000000000000000000e+00	1.000000000000000000e+00
-1.290327373938978894e+00	7.304443024861304590e-01	0.000000000000000000e+00	5.000000000000000000e+00
-1.154632531942788809e+00	-4.179496881684141574e-02	0.000000000000000000e+00	2.000000000000000000e+00
1.221050037171949043e+00	-6.289886129592003883e-01	3.300000000000000000e+01	3.900000000000000000e+01
5.960671765639794728e+00	4.513920716628564977e-01	1.040000000000000000e+02	1.080000000000000000e+02
-1.351645067790804511e+00	1.000367171908926434e+00	5.000000000000000000e+00	0.000000000000000000e+00
-1.317251947128149636e+00	1.076887969404217271e+00	0.000000000000000000e+00	8.000000000000000000e+00
-1.163892311933917512e+00	1.583881341135053300e-01	0.000000000000000000e+00	4.000000000000000000e+00
-5.961189346901089037e-01	-1.349926252231962831e+00	0.000000000000000000e+00	1.200000000000000000e+01
2.887660822975031572e+00	1.429326280719685816e+00	6.700000000000000000e+01	6.500000000000000000e+01
1.644187040473150674e+00	-1.479185974301116424e+00	3.400000000000000000e+01	4.200000000000000000e+01
-1.101683403296129571e+00	7.456321270134024237e-01	0.000000000000000000e+00	1.400000000000000000e+01
-1.537363050957872179e+00	1.418145783975291785e+00	0.000000000000000000e+00	2.000000000000000000e+00
-7.783477468204853533e-01	-1.470072634994239236e+00	2.000000000000000000e+00	0.000000000000000000e+00
-5.535338903067428262e-01	4.568744230782610383e-01	1.800000000000000000e+01	0.000000000000000000e+00
-1.229202641131115437e+00	3.577325038984657368e+00	2.000000000000000000e+01	0.000000000000000000e+00
1.403273668551570930e-01	-7.225531521202815943e-01	2.700000000000000000e+01	0.000000000000000000e+00
-8.389198847397021375e-01	3.407361445977831860e+00	1.900000000000000000e+01	1.700000000000000000e+01
-1.018658013140457896e+00	2.358088685679909646e-01	8.000000000000000000e+00	3.000000000000000000e+00
-8.767398552624983132e-02	-1.001211776831500533e+00	2.000000000000000000e+01	0.000000000000000000e+00
-1.229285039203610097e+00	9.812312829292282323e-01	0.000000000000000000e+00	1.100000000000000000e+01
7.680945355962368604e-01	-1.303829871677569585e+00	2.300000000000000000e+01	2.600000000000000000e+01
-7.221389197812310146e-01	3.970276104907651149e+00	3.500000000000000000e+01	9.000000000000000000e+00
-9.574154991736910647e-01	-6.257602644158809235e-02	0.000000000000000000e+00	1.100000000000000000e+01
-2.704244262565848600e-01	-1.194616851177637828e+00	1.200000000000000000e+01	1.600000000000000000e+01
-1.716066877769380383e+00	2.426789213440428750e+00	0.000000000000000000e+00	6.000000000000000000e+00
-1.376653122124305906e+00	1.173180152930000331e+00	6.000000000000000000e+00	0.000000000000000000e+00
-7.293082981858549640e-01	-6.868621604895720767e-02	5.000000000000000000e+00	1.600000000000000000e+01
-8.129574505726749889e-01	-9.453162617852814975e-01	0.000000000000000000e+00	7.000000000000000000e+00
2.811943927605895954e+00	1.622255145567836343e-01	5.400000000000000000e+01	7.100000000000000000e+01
1.759090432678560800e+00	-7.198464719761146768e-02	3.800000000000000000e+01	5.300000000000000000e+01
9.395997292042413962e-01	-3.343964055263068946e-01	4.800000000000000000e+01	0.000000000000000000e+00
-1.970232333526927837e-01	-7.584747384798418146e-01	1.900000000000000000e+01	0.000000000000000000e+00
-9.882338429195353102e-01	-2.452696502880504503e-01	5.000000000000000000e+00	2.000000000000000000e+00
-1.027942856403075034e+00	-5.443769280221576468e-01	0.000000000000000000e+00	2.000000000000000000e+00
-1.201369146811953836e+00	2.643733698130102727e+00	5.000000000000000000e+00	2.700000000000000000e+01
-7.254423054846753649e-01	-1.688017208102122524e+00	2.000000000000000000e+00	0.000000000000000000e+00
1.976998403279082162e+00	-7.752922995380222559e-01	4.100000000000000000e+01	4.800000000000000000e+01
-7.400948593086997818e-01	-1.182266485081848950e+00	7.000000000000000000e+00	0.000000000000000000e+00
-7.162165002169500472e-01	-1.004686528626748787e+00	1.000000000000000000e+01	0.000000000000000000e+00
-6.926706719736163143e-01	-1.581528950646257980e+00	0.000000000000000000e+00	5.000000000000000000e+00
-1.422576795852900755e+00	1.042859633061549607e+00	0.000000000000000000e+00	3.000000000000000000e+00
-4.876714494011238910e-01	-1.110478749749400640e+00	1.300000000000000000e+01	6.000000000000000000e+00
-8.177511815857047006e-01	2.443831615329816742e+00	2.400000000000000000e+01	0.000000000000000000e+00
-7.748899873802058691e-01	-1.432812296202184088e+00	0.000000000000000000e+00	3.000000000000000000e+00
-7.692946778870272118e-01	-6.278067540101154309e-01	0.000000000000000000e+00	1.300000000000000000e+01
-9.527029183866954076e-01	7.081167853968192705e-02	0.000000000000000000e+00	1.300000000000000000e+01
-1.239802509965970856e+00	1.084269041902038877e+00	0.000000000000000000e+00	1.200000000000000000e+01
-8.742350561985942070e-01	-6.714701497755738435e-01	7.000000000000000000e+00	0.000000000000000000e+00
1.860501833822701290e+00	1.817044872390844584e-02	5.400000000000000000e+01	3.100000000000000000e+01
-1.606243327858915881e+00	1.585914571018266939e+00	1.000000000000000000e+00	0.000000000000000000e+00
-8.590776382004882139e-01	1.104834911963609834e+00	1.500000000000000000e+01	0.000000000000000000e+00
-1.016256440940064065e+00	-3.108956659234096698e-01	5.000000000000000000e+00	0.000000000000000000e+00
-6.821063691457629474e-01	-9.521801894849759584e-01	2.000000000000000000e+00	1.100000000000000000e+01
-5.604141034262130061e-01	-7.802381874176492760e-01	1.000000000000000000e+01	1.000000000000000000e+01
-9.546039066940957829e-01	-8.202926067058009529e-01	2.000000000000000000e+00	0.000000000000000000e+00
-1.792656224520138508e+00	2.840345398800007803e+00	7.000000000000000000e+00	0.000000000000000000e+00
-6.892207165837461735e-01	-1.678888970775553435e+00	1.000000000000000000e+00	3.000000000000000000e+00
-1.170359170981003505e+00	5.447322549819935134e-01	8.000000000000000000e+00	0.000000000000000000e+00
-5.628664624165204966e-01	-1.638235009500709216e+00	5.000000000000000000e+00	5.000000000000000000e+00
2.130934318818405782e+00	-5.121212469487750329e-01	5.200000000000000000e+01	4.000000000000000000e+01
2.105891469813799155e+00	-4.222356814344377374e-01	4.800000000000000000e+01	5.300000000000000000e+01
1.683043029587278916e-01	6.259376952129104277e-01	2.000000000000000000e+01	2.900000000000000000e+01
-2.015675231759701813e-01	-1.296488409661046282e+00	3.000000000000000000e+00	2.800000000000000000e+01
-9.996299309958587287e-01	-3.229519821262208379e-01	2.000000000000000000e+00	4.000000000000000000e+00
4.898075430963765853e-01	-4.762740024208211853e-01	2.600000000000000000e+01	1.900000000000000000e+01
9.838017352693528839e-01	-4.651251489390997862e-02	3.500000000000000000e+01	2.800000000000000000e+01
-1.618979509756466317e-01	2.369312499076793865e-01	2.600000000000000000e+01	0.000000000000000000e+00
4.586408243858862477e+00	3.947740748308297132e+00	1.180000000000000000e+02	7.200000000000000000e+01
-1.781217466083415690e+00	3.048352098718356995e+00	1.000000000000000000e+01	0.000000000000000000e+00
-1.263477203517971992e+00	1.065861620336355564e+00	1.000000000000000000e+01	0.000000000000000000e+00
1.436150814920889918e+00	-1.236655629209458152e+00	3.200000000000000000e+01	4.000000000000000000e+01
-1.433471459424472627e+00	1.421820798877648118e+00	3.000000000000000000e+00	4.000000000000000000e+00
8.025913393515026958e-03	-3.637173832608522200e-02	1.500000000000000000e+01	2.400000000000000000e+01
-1.676130786912013892e+00	2.071613746612327667e+00	0.000000000000000000e+00	4.000000000000000000e+00
6.251812109216617896e-01	-1.045088415240974511e+00	2.800000000000000000e+01	1.500000000000000000e+01
-1.386115241590950564e+00	1.377907108750369813e+00	0.000000000000000000e+00	9.000000000000000000e+00
-9.887247791996444102e-01	-8.003292901551783967e-01	0.000000000000000000e+00	1.000000000000000000e+00
-9.157302863465477047e-03	-4.935766257474173413e-01	1.600000000000000000e+01	1.500000000000000000e+01
-9.878032042352598019e-01	-6.146679789889644141e-01	3.000000000000000000e+00	0.000000000000000000e+00
-1.387204797575455339e+00	8.214839517339708186e-01	2.000000000000000000e+00	0.000000000000000000e+00
-8.369070835102065953e-01	-9.686938389286849915e-01	0.000000000000000000e+00	6.000000000000000000e+00
-8.708888619919519236e-01	-7.047568393947171161e-01	7.000000000000000000e+00	0.000000000000000000e+00
-1.856913607415512368e-01	-1.633951879526188478e+00	1.200000000000000000e+01	1.500000000000000000e+01
-6.107823434888535845e-03	-1.353507393019794947e+00	1.900000000000000000e+01	2.000000000000000000e+00
1.815757038611885754e+00	-5.251444509405150951e-01	4.800000000000000000e+01	3.400000000000000000e+01
-8.171894309786668087e-01	-1.460232556850010743e+00	0.000000000000000000e+00	1.000000000000000000e+00
-4.174586670236658525e-01	-1.484753017919566043e+00	2.000000000000000000e+00	1.700000000000000000e+01
3.558070933215262133e-01	4.194269474068416659e-01	2.500000000000000000e+01	2.500000000000000000e+01
-1.153846070698558934e+00	1.030941202763458880e-01	4.000000000000000000e+00	0.000000000000000000e+00
-1.633280900166915517e+00	1.661170483429972977e+00	0.000000000000000000e+00	1.000000000000000000e+00
4.995021337958775121e+00	-4.090542905162405929e-01	8.800000000000000000e+01	9.100000000000000000e+01
4.693144518681540561e-02	7.826149792784354853e-01	2.800000000000000000e+01	1.200000000000000000e+01
-5.440854869094646773e-01	4.610019190627692720e-01	1.000000000000000000e+01	2.600000000000000000e+01
-1.010835108021177264e+00	-6.415483715713222734e-01	0.000000000000000000e+00	2.000000000000000000e+00
-3.116669241824669423e-01	-1.390471611920328421e+00	3.000000000000000000e+00	2.200000000000000000e+01
-5.798013815463680665e-01	-1.151520564720730944e+00	9.000000000000000000e+00	6.000000000000000000e+00
8.648293827113341659e-02	-1.056111100327404850e+00	2.400000000000000000e+01	0.000000000000000000e+00
-7.266052134402372076e-01	-2.405595921627488309e-01	0.000000000000000000e+00	2.000000000000000000e+01
-3.524818531702360036e-01	-1.751056518801330286e+00	1.200000000000000000e+01	6.000000000000000000e+00
4.055815865242753393e-01	-8.996367571970413923e-01	2.500000000000000000e+01	1.300000000000000000e+01
2.138421725465278644e+00	-4.559310876994070449e-01	6.400000000000000000e+01	2.000000000000000000e+01
-4.921583236679347717e-01	-1.806781475434593665e+00	1.100000000000000000e+01	0.000000000000000000e+00
-4.654982684146055094e-01	2.168044345996201216e-01	7.000000000000000000e+00	3.000000000000000000e+01
-7.203169026096007954e-01	-1.653190184243471084e+00	3.000000000000000000e+00	0.000000000000000000e+00
4.876945552461324773e+00	4.695394634102192377e+00	1.070000000000000000e+02	1.040000000000000000e+02
9.533865312136201586e-01	3.753146429963464814e-01	2.700000000000000000e+01	4.800000000000000000e+01
-9.908760253031061449e-01	-8.099087230995796194e-01	0.000000000000000000e+00	1.000000000000000000e+00
1.318756608943128628e+00	8.776733713632612899e-01	4.400000000000000000e+01	3.600000000000000000e+01
-9.579943920575759719e-01	4.850385502039755714e-01	2.000000000000000000e+00	1.600000000000000000e+01
5.016075498149992207e+00	9.717921563853465505e-02	8.800000000000000000e+01	1.030000000000000000e+02
-7.433013704556132861e-01	-1.660295473167263003e+00	2.000000000000000000e+00	0.000000000000000000e+00
-5.442072358951504096e-01	-1.656413969703588229e+00	5.000000000000000000e+00	6.000000000000000000e+00
